Match_No_,Player_id,Player_name,Player_Country,Opponent_Team,Ground_Name,Balls_Faced,SR,_4s,_6s,inning1,inning2,inning1_score,inning2_score,Bowler_1_name,Bowler_1_matches,Bowler_1_innings_,Bowler_1_total_overs,Bowler_1_maidens_earned,Bowler_1_wickets_taken,Bowler_1_economy,Bowler_1_SR,Bowler_2_name,Bowler_2_matches,Bowler_2_innings_,Bowler_2_total_overs,Bowler_2_maidens_earned,Bowler_2_wickets_taken,Bowler_2_economy,Bowler_2_SR,Bowler_3_name,Bowler_3_matches,Bowler_3_innings_,Bowler_3_total_overs,Bowler_3_maidens_earned,Bowler_3_wickets_taken,Bowler_3_economy,Bowler_3_SR,G_matches,G_Inns,G_Not_Outs,G_Runs,G_HS,G_Balls_Faced,G_AVG,G_SR,G_100,G_50,G_0s,G_4s,G_6s,Runs
1126,958691,Ashen_Bandara,Sri_Lanka,4,1675,6,166.66,1,0,Sri_Lanka,West_Indies,131,134,Kevin_Sinclair,3,9,0,77,0,27,0,Fidel_Edwards,0,0,0,0,0,0,0,Jason_Holder,5,5,18,0,3,8.11,36,1,1,0,10,10,6,10,166.66,0,0,0,1,0,10
1128,958691,Ashen_Bandara,Sri_Lanka,4,1675,19,110.52,0,1,Sri_Lanka,West_Indies,160,117,Fidel_Edwards,0,0,0,0,0,0,0,Kevin_Sinclair,3,9,0,77,0,27,0,Jason_Holder,5,5,18,0,3,8.11,36,2,2,0,31,21,25,15.5,124,0,0,0,1,1,21
1130,958691,Ashen_Bandara,Sri_Lanka,4,1675,35,125.71,3,2,Sri_Lanka,West_Indies,131,134,Fabian_Allen,0,0,0,0,0,0,0,Kevin_Sinclair,3,9,0,77,0,27,0,Jason_Holder,5,5,18,0,3,8.11,36,3,3,1,75,44,60,37.5,125,0,0,0,4,3,44
1204,958691,Ashen_Bandara,Sri_Lanka,6,1004,19,47.36,0,0,India,Sri_Lanka,164,126,Bhuvneshwar_Kumar,8,8,26.3,0,9,6.83,17.6,Deepak_Chahar,1,3,0,24,0,9,0,Krunal_Pandya,1,2,0,16,0,12,0,1,1,0,9,9,19,9,47.36,0,0,0,0,0,9
1204,784367,Charith_Asalanka,Sri_Lanka,6,1004,26,169.23,3,3,India,Sri_Lanka,164,126,Bhuvneshwar_Kumar,8,8,26.3,0,9,6.83,17.6,Deepak_Chahar,1,3,0,24,0,9,0,Krunal_Pandya,1,2,0,16,0,12,0,1,1,0,44,44,26,44,169.23,0,0,0,3,3,44
1265,784367,Charith_Asalanka,Sri_Lanka,3,1004,19,31.57,0,0,South_Africa,Sri_Lanka,163,135,Bjorn_Fortuin,3,12,0,57,0,14.4,0,Anrich_Nortje,3,10,0,64,0,15,0,Kagiso_Rabada,6,6,19,0,5,9,22.8,2,2,0,50,44,45,25,111.11,0,0,0,3,3,6
1270,784367,Charith_Asalanka,Sri_Lanka,3,1004,20,70,0,0,Sri_Lanka,South_Africa,103,105,Bjorn_Fortuin,3,12,0,57,0,14.4,0,Anrich_Nortje,3,10,0,64,0,15,0,Kagiso_Rabada,6,6,19,0,5,9,22.8,3,3,0,64,44,65,21.33,98.46,0,0,0,3,3,14
1357,784367,Charith_Asalanka,Sri_Lanka,25,848,49,163.26,5,5,Bangladesh,Sri_Lanka,171,172,Nasum_Ahmed,1,2.5,0,29,0,8.5,0,Mahedi_Hasan,3,3,8.2,0,1,10.2,50,Mohammad_Saifuddin,5,5,15,0,3,10.93,30,2,2,1,86,80,59,86,145.76,0,1,0,6,5,80
1374,784367,Charith_Asalanka,Sri_Lanka,2,2439,27,129.62,4,1,Sri_Lanka,Australia,154,155,Mitchell_Starc,11,11,44,0,15,7.02,17.6,Josh_Hazlewood,8,32,2,174,0,12.8,2,Pat_Cummins,10,10,38,0,13,7.57,17.5,1,1,0,35,35,27,35,129.62,0,0,0,4,1,35
1378,784367,Charith_Asalanka,Sri_Lanka,3,848,14,150,2,1,Sri_Lanka,South_Africa,142,146,Aiden_Markram,6,3,8,1,4,4.12,12,Kagiso_Rabada,6,6,19,0,5,9,22.8,Anrich_Nortje,3,10,0,64,0,15,0,3,3,1,107,80,73,53.5,146.57,0,1,0,8,6,21
1382,784367,Charith_Asalanka,Sri_Lanka,1,848,16,131.25,3,1,England,Sri_Lanka,163,137,Moeen_Ali,6,6,9.5,0,3,8.44,19.6,Chris_Woakes,6,6,19.3,0,4,6.87,29.2,Adil_Rashid,8,8,27,1,10,5.62,16.2,4,4,1,128,80,89,42.66,143.82,0,1,0,11,7,21
